Barangay_No,Barangay,x,y,Year,Month,Temperature,Humidity,Rainfall,Dengue Cases
5,BURU-UN,8.1872,124.1688,2011,9,24.4,86.2,70.0,0
6,DALIPUGA,8.3074,124.255,2011,9,24.4,86.2,70.0,0
7,DEL CARMEN,8.2322,124.2578,2011,9,24.4,86.2,70.0,0
8,DIGKILAAN,8.2492,124.3178,2011,9,24.4,86.2,70.0,0
9,DITUCALAN,8.1751,124.1927,2011,9,24.4,86.2,70.0,1
10,DULAG,8.204,124.3694,2011,9,24.4,86.2,70.0,0
11,HINAPLANON,8.2467,124.2592,2011,9,24.4,86.2,70.0,0
12,HINDANG,8.3177,124.3457,2011,9,24.4,86.2,70.0,0
13,KABACSANAN,8.2815,124.3088,2011,9,24.4,86.2,70.0,0
14,KALILANGAN,8.1747,124.3863,2011,9,24.4,86.2,70.0,0
15,KIWALAN,8.2801,124.2668,2011,9,24.4,86.2,70.0,0
16,LANIPAO,8.2266,124.3412,2011,9,24.4,86.2,70.0,0
17,LUINAB,8.2472,124.2681,2011,9,24.4,86.2,70.0,0
18,MAHAYAHAY,8.2219,124.2406,2011,9,24.4,86.2,70.0,0
19,MAINIT,8.2976,124.3876,2011,9,24.4,86.2,70.0,0
20,MANDULOG,8.2442,124.3057,2011,9,24.4,86.2,70.0,0
21,MARIA CRISTINA,8.1989,124.1936,2011,9,24.4,86.2,70.0,0
22,PALAO,8.2286,124.2532,2011,9,24.4,86.2,70.0,0
23,PANOROGANAN,8.1743,124.425,2011,9,24.4,86.2,70.0,0
24,POBLACION,8.2285,124.2344,2011,9,24.4,86.2,70.0,1
25,PUGA-AN,8.2285,124.2742,2011,9,24.4,86.2,70.0,0
26,ROGONGON,8.2395,124.4115,2011,9,24.4,86.2,70.0,0
27,SAN MIGUEL,8.2387,124.2479,2011,9,24.4,86.2,70.0,0
28,SAN ROQUE,8.2578,124.2619,2011,9,24.4,86.2,70.0,1
29,SANTA ELENA,8.1948,124.2273,2011,9,24.4,86.2,70.0,0
30,SANTA FILOMENA,8.2681,124.2593,2011,9,24.4,86.2,70.0,0
31,SANTIAGO,8.2511,124.2444,2011,9,24.4,86.2,70.0,0
32,SANTO ROSARIO,8.2436,124.2525,2011,9,24.4,86.2,70.0,0
33,SARAY-TIBANGA,8.2436,124.2525,2011,9,24.4,86.2,70.0,0
34,SUAREZ,8.1914,124.2173,2011,9,24.4,86.2,70.0,0
35,TAMBACAN,8.2236,124.2347,2011,9,24.4,86.2,70.0,1
36,TIBANGA,8.2402,124.241,2011,9,24.4,86.2,70.0,0
37,TIPANOY,8.1902,124.2634,2011,9,24.4,86.2,70.0,0
38,TOMINOBO PROPER,8.2104,124.2221,2011,9,24.4,86.2,70.0,0
39,TOMINOBO UPPER,8.1688,124.2251,2011,9,24.4,86.2,70.0,0
40,TUBOD,8.2117,124.241,2011,9,24.4,86.2,70.0,0
41,UBALDO LAYA,8.224,124.2449,2011,9,24.4,86.2,70.0,0
42,UPPER HINAPLANON,8.2559,124.2689,2011,9,24.4,86.2,70.0,0
43,VILLA VERDE,8.2331,124.2437,2011,9,24.4,86.2,70.0,0
0,ABUNO,8.1846,124.2571,2011,10,24.0,87.0,50.0,0
1,ACMAC,8.274,124.2649,2011,10,24.0,87.0,50.0,0
2,BAGONG SILANG,8.2418,124.252,2011,10,24.0,87.0,50.0,0
3,BONBONON,8.2667,124.2902,2011,10,24.0,87.0,50.0,0
4,BUNAWAN,8.3023,124.3028,2011,10,24.0,87.0,50.0,0
5,BURU-UN,8.1872,124.1688,2011,10,24.0,87.0,50.0,0
6,DALIPUGA,8.3074,124.255,2011,10,24.0,87.0,50.0,1
7,DEL CARMEN,8.2322,124.2578,2011,10,24.0,87.0,50.0,0
8,DIGKILAAN,8.2492,124.3178,2011,10,24.0,87.0,50.0,0
9,DITUCALAN,8.1751,124.1927,2011,10,24.0,87.0,50.0,0
10,DULAG,8.204,124.3694,2011,10,24.0,87.0,50.0,0
11,HINAPLANON,8.2467,124.2592,2011,10,24.0,87.0,50.0,0
12,HINDANG,8.3177,124.3457,2011,10,24.0,87.0,50.0,1
13,KABACSANAN,8.2815,124.3088,2011,10,24.0,87.0,50.0,0
14,KALILANGAN,8.1747,124.3863,2011,10,24.0,87.0,50.0,0
15,KIWALAN,8.2801,124.2668,2011,10,24.0,87.0,50.0,0
16,LANIPAO,8.2266,124.3412,2011,10,24.0,87.0,50.0,0
17,LUINAB,8.2472,124.2681,2011,10,24.0,87.0,50.0,0
18,MAHAYAHAY,8.2219,124.2406,2011,10,24.0,87.0,50.0,0
19,MAINIT,8.2976,124.3876,2011,10,24.0,87.0,50.0,0
20,MANDULOG,8.2442,124.3057,2011,10,24.0,87.0,50.0,0
21,MARIA CRISTINA,8.1989,124.1936,2011,10,24.0,87.0,50.0,0
22,PALAO,8.2286,124.2532,2011,10,24.0,87.0,50.0,0
23,PANOROGANAN,8.1743,124.425,2011,10,24.0,87.0,50.0,0
24,POBLACION,8.2285,124.2344,2011,10,24.0,87.0,50.0,0
25,PUGA-AN,8.2285,124.2742,2011,10,24.0,87.0,50.0,0
26,ROGONGON,8.2395,124.4115,2011,10,24.0,87.0,50.0,0
27,SAN MIGUEL,8.2387,124.2479,2011,10,24.0,87.0,50.0,0
28,SAN ROQUE,8.2578,124.2619,2011,10,24.0,87.0,50.0,0
29,SANTA ELENA,8.1948,124.2273,2011,10,24.0,87.0,50.0,0
30,SANTA FILOMENA,8.2681,124.2593,2011,10,24.0,87.0,50.0,0
31,SANTIAGO,8.2511,124.2444,2011,10,24.0,87.0,50.0,0
32,SANTO ROSARIO,8.2436,124.2525,2011,10,24.0,87.0,50.0,0
33,SARAY-TIBANGA,8.2436,124.2525,2011,10,24.0,87.0,50.0,0
34,SUAREZ,8.1914,124.2173,2011,10,24.0,87.0,50.0,0
35,TAMBACAN,8.2236,124.2347,2011,10,24.0,87.0,50.0,0
36,TIBANGA,8.2402,124.241,2011,10,24.0,87.0,50.0,0
37,TIPANOY,8.1902,124.2634,2011,10,24.0,87.0,50.0,1
38,TOMINOBO PROPER,8.2104,124.2221,2011,10,24.0,87.0,50.0,1
39,TOMINOBO UPPER,8.1688,124.2251,2011,10,24.0,87.0,50.0,0
40,TUBOD,8.2117,124.241,2011,10,24.0,87.0,50.0,1
41,UBALDO LAYA,8.224,124.2449,2011,10,24.0,87.0,50.0,0
42,UPPER HINAPLANON,8.2559,124.2689,2011,10,24.0,87.0,50.0,0
43,VILLA VERDE,8.2331,124.2437,2011,10,24.0,87.0,50.0,0
0,ABUNO,8.1846,124.2571,2011,11,23.6,88.4,30.0,0
1,ACMAC,8.274,124.2649,2011,11,23.6,88.4,30.0,0
2,BAGONG SILANG,8.2418,124.252,2011,11,23.6,88.4,30.0,0
3,BONBONON,8.2667,124.2902,2011,11,23.6,88.4,30.0,0
4,BUNAWAN,8.3023,124.3028,2011,11,23.6,88.4,30.0,0
5,BURU-UN,8.1872,124.1688,2011,11,23.6,88.4,30.0,0
6,DALIPUGA,8.3074,124.255,2011,11,23.6,88.4,30.0,1
7,DEL CARMEN,8.2322,124.2578,2011,11,23.6,88.4,30.0,0
8,DIGKILAAN,8.2492,124.3178,2011,11,23.6,88.4,30.0,0
9,DITUCALAN,8.1751,124.1927,2011,11,23.6,88.4,30.0,0
10,DULAG,8.204,124.3694,2011,11,23.6,88.4,30.0,0
11,HINAPLANON,8.2467,124.2592,2011,11,23.6,88.4,30.0,0
12,HINDANG,8.3177,124.3457,2011,11,23.6,88.4,30.0,0
13,KABACSANAN,8.2815,124.3088,2011,11,23.6,88.4,30.0,0
14,KALILANGAN,8.1747,124.3863,2011,11,23.6,88.4,30.0,0
15,KIWALAN,8.2801,124.2668,2011,11,23.6,88.4,30.0,0
16,LANIPAO,8.2266,124.3412,2011,11,23.6,88.4,30.0,0
17,LUINAB,8.2472,124.2681,2011,11,23.6,88.4,30.0,0
18,MAHAYAHAY,8.2219,124.2406,2011,11,23.6,88.4,30.0,0
19,MAINIT,8.2976,124.3876,2011,11,23.6,88.4,30.0,0
20,MANDULOG,8.2442,124.3057,2011,11,23.6,88.4,30.0,0
21,MARIA CRISTINA,8.1989,124.1936,2011,11,23.6,88.4,30.0,0
22,PALAO,8.2286,124.2532,2011,11,23.6,88.4,30.0,0
23,PANOROGANAN,8.1743,124.425,2011,11,23.6,88.4,30.0,0
24,POBLACION,8.2285,124.2344,2011,11,23.6,88.4,30.0,1
25,PUGA-AN,8.2285,124.2742,2011,11,23.6,88.4,30.0,0
26,ROGONGON,8.2395,124.4115,2011,11,23.6,88.4,30.0,0
27,SAN MIGUEL,8.2387,124.2479,2011,11,23.6,88.4,30.0,0
28,SAN ROQUE,8.2578,124.2619,2011,11,23.6,88.4,30.0,0
29,SANTA ELENA,8.1948,124.2273,2011,11,23.6,88.4,30.0,0
30,SANTA FILOMENA,8.2681,124.2593,2011,11,23.6,88.4,30.0,1
31,SANTIAGO,8.2511,124.2444,2011,11,23.6,88.4,30.0,0
32,SANTO ROSARIO,8.2436,124.2525,2011,11,23.6,88.4,30.0,0
33,SARAY-TIBANGA,8.2436,124.2525,2011,11,23.6,88.4,30.0,0
34,SUAREZ,8.1914,124.2173,2011,11,23.6,88.4,30.0,0
35,TAMBACAN,8.2236,124.2347,2011,11,23.6,88.4,30.0,0
36,TIBANGA,8.2402,124.241,2011,11,23.6,88.4,30.0,1
37,TIPANOY,8.1902,124.2634,2011,11,23.6,88.4,30.0,0
38,TOMINOBO PROPER,8.2104,124.2221,2011,11,23.6,88.4,30.0,0
39,TOMINOBO UPPER,8.1688,124.2251,2011,11,23.6,88.4,30.0,0
40,TUBOD,8.2117,124.241,2011,11,23.6,88.4,30.0,1
41,UBALDO LAYA,8.224,124.2449,2011,11,23.6,88.4,30.0,0
42,UPPER HINAPLANON,8.2559,124.2689,2011,11,23.6,88.4,30.0,0
43,VILLA VERDE,8.2331,124.2437,2011,11,23.6,88.4,30.0,0
0,ABUNO,8.1846,124.2571,2011,12,23.2,89.1,15.0,0
1,ACMAC,8.274,124.2649,2011,12,23.2,89.1,15.0,0
2,BAGONG SILANG,8.2418,124.252,2011,12,23.2,89.1,15.0,0
3,BONBONON,8.2667,124.2902,2011,12,23.2,89.1,15.0,0
4,BUNAWAN,8.3023,124.3028,2011,12,23.2,89.1,15.0,0
5,BURU-UN,8.1872,124.1688,2011,12,23.2,89.1,15.0,0
6,DALIPUGA,8.3074,124.255,2011,12,23.2,89.1,15.0,0
7,DEL CARMEN,8.2322,124.2578,2011,12,23.2,89.1,15.0,1
8,DIGKILAAN,8.2492,124.3178,2011,12,23.2,89.1,15.0,0
9,DITUCALAN,8.1751,124.1927,2011,12,23.2,89.1,15.0,0
10,DULAG,8.204,124.3694,2011,12,23.2,89.1,15.0,0
11,HINAPLANON,8.2467,124.2592,2011,12,23.2,89.1,15.0,1
12,HINDANG,8.3177,124.3457,2011,12,23.2,89.1,15.0,0
13,KABACSANAN,8.2815,124.3088,2011,12,23.2,89.1,15.0,0
14,KALILANGAN,8.1747,124.3863,2011,12,23.2,89.1,15.0,0
15,KIWALAN,8.2801,124.2668,2011,12,23.2,89.1,15.0,0
16,LANIPAO,8.2266,124.3412,2011,12,23.2,89.1,15.0,0
17,LUINAB,8.2472,124.2681,2011,12,23.2,89.1,15.0,0
18,MAHAYAHAY,8.2219,124.2406,2011,12,23.2,89.1,15.0,0
19,MAINIT,8.2976,124.3876,2011,12,23.2,89.1,15.0,0
20,MANDULOG,8.2442,124.3057,2011,12,23.2,89.1,15.0,0
21,MARIA CRISTINA,8.1989,124.1936,2011,12,23.2,89.1,15.0,0
22,PALAO,8.2286,124.2532,2011,12,23.2,89.1,15.0,4
23,PANOROGANAN,8.1743,124.425,2011,12,23.2,89.1,15.0,0
24,POBLACION,8.2285,124.2344,2011,12,23.2,89.1,15.0,0
25,PUGA-AN,8.2285,124.2742,2011,12,23.2,89.1,15.0,0
26,ROGONGON,8.2395,124.4115,2011,12,23.2,89.1,15.0,0
27,SAN MIGUEL,8.2387,124.2479,2011,12,23.2,89.1,15.0,0
28,SAN ROQUE,8.2578,124.2619,2011,12,23.2,89.1,15.0,0
29,SANTA ELENA,8.1948,124.2273,2011,12,23.2,89.1,15.0,0
30,SANTA FILOMENA,8.2681,124.2593,2011,12,23.2,89.1,15.0,0
31,SANTIAGO,8.2511,124.2444,2011,12,23.2,89.1,15.0,2
32,SANTO ROSARIO,8.2436,124.2525,2011,12,23.2,89.1,15.0,1
33,SARAY-TIBANGA,8.2436,124.2525,2011,12,23.2,89.1,15.0,0
34,SUAREZ,8.1914,124.2173,2011,12,23.2,89.1,15.0,1
35,TAMBACAN,8.2236,124.2347,2011,12,23.2,89.1,15.0,0
36,TIBANGA,8.2402,124.241,2011,12,23.2,89.1,15.0,0
37,TIPANOY,8.1902,124.2634,2011,12,23.2,89.1,15.0,1
38,TOMINOBO PROPER,8.2104,124.2221,2011,12,23.2,89.1,15.0,0
39,TOMINOBO UPPER,8.1688,124.2251,2011,12,23.2,89.1,15.0,0
40,TUBOD,8.2117,124.241,2011,12,23.2,89.1,15.0,1
41,UBALDO LAYA,8.224,124.2449,2011,12,23.2,89.1,15.0,1
42,UPPER HINAPLANON,8.2559,124.2689,2011,12,23.2,89.1,15.0,0
43,VILLA VERDE,8.2331,124.2437,2011,12,23.2,89.1,15.0,0
0,ABUNO,8.1846,124.2571,2012,1,24.3,85.1,4.0,0
1,ACMAC,8.274,124.2649,2012,1,24.3,85.1,4.0,0
2,BAGONG SILANG,8.2418,124.252,2012,1,24.3,85.1,4.0,0
3,BONBONON,8.2667,124.2902,2012,1,24.3,85.1,4.0,0
4,BUNAWAN,8.3023,124.3028,2012,1,24.3,85.1,4.0,0
5,BURU-UN,8.1872,124.1688,2012,1,24.3,85.1,4.0,0
6,DALIPUGA,8.3074,124.255,2012,1,24.3,85.1,4.0,0
7,DEL CARMEN,8.2322,124.2578,2012,1,24.3,85.1,4.0,0
8,DIGKILAAN,8.2492,124.3178,2012,1,24.3,85.1,4.0,0
9,DITUCALAN,8.1751,124.1927,2012,1,24.3,85.1,4.0,0
10,DULAG,8.204,124.3694,2012,1,24.3,85.1,4.0,0
11,HINAPLANON,8.2467,124.2592,2012,1,24.3,85.1,4.0,0
12,HINDANG,8.3177,124.3457,2012,1,24.3,85.1,4.0,0
13,KABACSANAN,8.2815,124.3088,2012,1,24.3,85.1,4.0,0
14,KALILANGAN,8.1747,124.3863,2012,1,24.3,85.1,4.0,0
15,KIWALAN,8.2801,124.2668,2012,1,24.3,85.1,4.0,1
16,LANIPAO,8.2266,124.3412,2012,1,24.3,85.1,4.0,0
17,LUINAB,8.2472,124.2681,2012,1,24.3,85.1,4.0,0
18,MAHAYAHAY,8.2219,124.2406,2012,1,24.3,85.1,4.0,0
19,MAINIT,8.2976,124.3876,2012,1,24.3,85.1,4.0,0
20,MANDULOG,8.2442,124.3057,2012,1,24.3,85.1,4.0,0
21,MARIA CRISTINA,8.1989,124.1936,2012,1,24.3,85.1,4.0,0
22,PALAO,8.2286,124.2532,2012,1,24.3,85.1,4.0,0
23,PANOROGANAN,8.1743,124.425,2012,1,24.3,85.1,4.0,0
24,POBLACION,8.2285,124.2344,2012,1,24.3,85.1,4.0,0
25,PUGA-AN,8.2285,124.2742,2012,1,24.3,85.1,4.0,1
26,ROGONGON,8.2395,124.4115,2012,1,24.3,85.1,4.0,0
27,SAN MIGUEL,8.2387,124.2479,2012,1,24.3,85.1,4.0,0
28,SAN ROQUE,8.2578,124.2619,2012,1,24.3,85.1,4.0,0
29,SANTA ELENA,8.1948,124.2273,2012,1,24.3,85.1,4.0,0
30,SANTA FILOMENA,8.2681,124.2593,2012,1,24.3,85.1,4.0,0
31,SANTIAGO,8.2511,124.2444,2012,1,24.3,85.1,4.0,1
32,SANTO ROSARIO,8.2436,124.2525,2012,1,24.3,85.1,4.0,1
33,SARAY-TIBANGA,8.2436,124.2525,2012,1,24.3,85.1,4.0,0
34,SUAREZ,8.1914,124.2173,2012,1,24.3,85.1,4.0,0
35,TAMBACAN,8.2236,124.2347,2012,1,24.3,85.1,4.0,3
36,TIBANGA,8.2402,124.241,2012,1,24.3,85.1,4.0,1
37,TIPANOY,8.1902,124.2634,2012,1,24.3,85.1,4.0,1
38,TOMINOBO PROPER,8.2104,124.2221,2012,1,24.3,85.1,4.0,0
39,TOMINOBO UPPER,8.1688,124.2251,2012,1,24.3,85.1,4.0,0
40,TUBOD,8.2117,124.241,2012,1,24.3,85.1,4.0,6
41,UBALDO LAYA,8.224,124.2449,2012,1,24.3,85.1,4.0,0
42,UPPER HINAPLANON,8.2559,124.2689,2012,1,24.3,85.1,4.0,0
43,VILLA VERDE,8.2331,124.2437,2012,1,24.3,85.1,4.0,0
0,ABUNO,8.1846,124.2571,2012,2,24.3,85.7,7.1,0
1,ACMAC,8.274,124.2649,2012,2,24.3,85.7,7.1,0
2,BAGONG SILANG,8.2418,124.252,2012,2,24.3,85.7,7.1,0
3,BONBONON,8.2667,124.2902,2012,2,24.3,85.7,7.1,0
4,BUNAWAN,8.3023,124.3028,2012,2,24.3,85.7,7.1,0
5,BURU-UN,8.1872,124.1688,2012,2,24.3,85.7,7.1,0
6,DALIPUGA,8.3074,124.255,2012,2,24.3,85.7,7.1,0
7,DEL CARMEN,8.2322,124.2578,2012,2,24.3,85.7,7.1,1
8,DIGKILAAN,8.2492,124.3178,2012,2,24.3,85.7,7.1,0
9,DITUCALAN,8.1751,124.1927,2012,2,24.3,85.7,7.1,1
10,DULAG,8.204,124.3694,2012,2,24.3,85.7,7.1,0
11,HINAPLANON,8.2467,124.2592,2012,2,24.3,85.7,7.1,0
12,HINDANG,8.3177,124.3457,2012,2,24.3,85.7,7.1,0
13,KABACSANAN,8.2815,124.3088,2012,2,24.3,85.7,7.1,0
14,KALILANGAN,8.1747,124.3863,2012,2,24.3,85.7,7.1,0
15,KIWALAN,8.2801,124.2668,2012,2,24.3,85.7,7.1,0
16,LANIPAO,8.2266,124.3412,2012,2,24.3,85.7,7.1,0
17,LUINAB,8.2472,124.2681,2012,2,24.3,85.7,7.1,0
18,MAHAYAHAY,8.2219,124.2406,2012,2,24.3,85.7,7.1,0
19,MAINIT,8.2976,124.3876,2012,2,24.3,85.7,7.1,0
20,MANDULOG,8.2442,124.3057,2012,2,24.3,85.7,7.1,0
21,MARIA CRISTINA,8.1989,124.1936,2012,2,24.3,85.7,7.1,2
22,PALAO,8.2286,124.2532,2012,2,24.3,85.7,7.1,0
23,PANOROGANAN,8.1743,124.425,2012,2,24.3,85.7,7.1,0
24,POBLACION,8.2285,124.2344,2012,2,24.3,85.7,7.1,2
25,PUGA-AN,8.2285,124.2742,2012,2,24.3,85.7,7.1,0
26,ROGONGON,8.2395,124.4115,2012,2,24.3,85.7,7.1,0
27,SAN MIGUEL,8.2387,124.2479,2012,2,24.3,85.7,7.1,0
28,SAN ROQUE,8.2578,124.2619,2012,2,24.3,85.7,7.1,0
29,SANTA ELENA,8.1948,124.2273,2012,2,24.3,85.7,7.1,0
30,SANTA FILOMENA,8.2681,124.2593,2012,2,24.3,85.7,7.1,0
31,SANTIAGO,8.2511,124.2444,2012,2,24.3,85.7,7.1,0
32,SANTO ROSARIO,8.2436,124.2525,2012,2,24.3,85.7,7.1,1
33,SARAY-TIBANGA,8.2436,124.2525,2012,2,24.3,85.7,7.1,0
34,SUAREZ,8.1914,124.2173,2012,2,24.3,85.7,7.1,0
35,TAMBACAN,8.2236,124.2347,2012,2,24.3,85.7,7.1,1
36,TIBANGA,8.2402,124.241,2012,2,24.3,85.7,7.1,2
37,TIPANOY,8.1902,124.2634,2012,2,24.3,85.7,7.1,1
38,TOMINOBO PROPER,8.2104,124.2221,2012,2,24.3,85.7,7.1,0
39,TOMINOBO UPPER,8.1688,124.2251,2012,2,24.3,85.7,7.1,0
40,TUBOD,8.2117,124.241,2012,2,24.3,85.7,7.1,2
41,UBALDO LAYA,8.224,124.2449,2012,2,24.3,85.7,7.1,0
42,UPPER HINAPLANON,8.2559,124.2689,2012,2,24.3,85.7,7.1,0
43,VILLA VERDE,8.2331,124.2437,2012,2,24.3,85.7,7.1,0
0,ABUNO,8.1846,124.2571,2012,3,24.6,83.3,3.1,0
1,ACMAC,8.274,124.2649,2012,3,24.6,83.3,3.1,0
2,BAGONG SILANG,8.2418,124.252,2012,3,24.6,83.3,3.1,5
3,BONBONON,8.2667,124.2902,2012,3,24.6,83.3,3.1,0
4,BUNAWAN,8.3023,124.3028,2012,3,24.6,83.3,3.1,0
5,BURU-UN,8.1872,124.1688,2012,3,24.6,83.3,3.1,0
6,DALIPUGA,8.3074,124.255,2012,3,24.6,83.3,3.1,0
7,DEL CARMEN,8.2322,124.2578,2012,3,24.6,83.3,3.1,1
8,DIGKILAAN,8.2492,124.3178,2012,3,24.6,83.3,3.1,1
9,DITUCALAN,8.1751,124.1927,2012,3,24.6,83.3,3.1,0
10,DULAG,8.204,124.3694,2012,3,24.6,83.3,3.1,0
11,HINAPLANON,8.2467,124.2592,2012,3,24.6,83.3,3.1,0
12,HINDANG,8.3177,124.3457,2012,3,24.6,83.3,3.1,0
13,KABACSANAN,8.2815,124.3088,2012,3,24.6,83.3,3.1,0
14,KALILANGAN,8.1747,124.3863,2012,3,24.6,83.3,3.1,0
15,KIWALAN,8.2801,124.2668,2012,3,24.6,83.3,3.1,0
16,LANIPAO,8.2266,124.3412,2012,3,24.6,83.3,3.1,0
17,LUINAB,8.2472,124.2681,2012,3,24.6,83.3,3.1,0
18,MAHAYAHAY,8.2219,124.2406,2012,3,24.6,83.3,3.1,0
19,MAINIT,8.2976,124.3876,2012,3,24.6,83.3,3.1,0
20,MANDULOG,8.2442,124.3057,2012,3,24.6,83.3,3.1,0
21,MARIA CRISTINA,8.1989,124.1936,2012,3,24.6,83.3,3.1,0
22,PALAO,8.2286,124.2532,2012,3,24.6,83.3,3.1,0
23,PANOROGANAN,8.1743,124.425,2012,3,24.6,83.3,3.1,0
24,POBLACION,8.2285,124.2344,2012,3,24.6,83.3,3.1,2
25,PUGA-AN,8.2285,124.2742,2012,3,24.6,83.3,3.1,0
26,ROGONGON,8.2395,124.4115,2012,3,24.6,83.3,3.1,0
27,SAN MIGUEL,8.2387,124.2479,2012,3,24.6,83.3,3.1,1
28,SAN ROQUE,8.2578,124.2619,2012,3,24.6,83.3,3.1,0
29,SANTA ELENA,8.1948,124.2273,2012,3,24.6,83.3,3.1,0
30,SANTA FILOMENA,8.2681,124.2593,2012,3,24.6,83.3,3.1,1
31,SANTIAGO,8.2511,124.2444,2012,3,24.6,83.3,3.1,0
32,SANTO ROSARIO,8.2436,124.2525,2012,3,24.6,83.3,3.1,0
33,SARAY-TIBANGA,8.2436,124.2525,2012,3,24.6,83.3,3.1,0
34,SUAREZ,8.1914,124.2173,2012,3,24.6,83.3,3.1,0
35,TAMBACAN,8.2236,124.2347,2012,3,24.6,83.3,3.1,0
36,TIBANGA,8.2402,124.241,2012,3,24.6,83.3,3.1,2
37,TIPANOY,8.1902,124.2634,2012,3,24.6,83.3,3.1,0
38,TOMINOBO PROPER,8.2104,124.2221,2012,3,24.6,83.3,3.1,0
39,TOMINOBO UPPER,8.1688,124.2251,2012,3,24.6,83.3,3.1,0
40,TUBOD,8.2117,124.241,2012,3,24.6,83.3,3.1,2
41,UBALDO LAYA,8.224,124.2449,2012,3,24.6,83.3,3.1,0
42,UPPER HINAPLANON,8.2559,124.2689,2012,3,24.6,83.3,3.1,0
43,VILLA VERDE,8.2331,124.2437,2012,3,24.6,83.3,3.1,0
0,ABUNO,8.1846,124.2571,2012,4,25.4,82.3,6.9,1
1,ACMAC,8.274,124.2649,2012,4,25.4,82.3,6.9,0
2,BAGONG SILANG,8.2418,124.252,2012,4,25.4,82.3,6.9,0
3,BONBONON,8.2667,124.2902,2012,4,25.4,82.3,6.9,0
4,BUNAWAN,8.3023,124.3028,2012,4,25.4,82.3,6.9,0
5,BURU-UN,8.1872,124.1688,2012,4,25.4,82.3,6.9,0
6,DALIPUGA,8.3074,124.255,2012,4,25.4,82.3,6.9,0
7,DEL CARMEN,8.2322,124.2578,2012,4,25.4,82.3,6.9,0
8,DIGKILAAN,8.2492,124.3178,2012,4,25.4,82.3,6.9,0
9,DITUCALAN,8.1751,124.1927,2012,4,25.4,82.3,6.9,0
10,DULAG,8.204,124.3694,2012,4,25.4,82.3,6.9,0
11,HINAPLANON,8.2467,124.2592,2012,4,25.4,82.3,6.9,0
12,HINDANG,8.3177,124.3457,2012,4,25.4,82.3,6.9,0
13,KABACSANAN,8.2815,124.3088,2012,4,25.4,82.3,6.9,0
14,KALILANGAN,8.1747,124.3863,2012,4,25.4,82.3,6.9,0
15,KIWALAN,8.2801,124.2668,2012,4,25.4,82.3,6.9,0
16,LANIPAO,8.2266,124.3412,2012,4,25.4,82.3,6.9,0
17,LUINAB,8.2472,124.2681,2012,4,25.4,82.3,6.9,0
18,MAHAYAHAY,8.2219,124.2406,2012,4,25.4,82.3,6.9,0
19,MAINIT,8.2976,124.3876,2012,4,25.4,82.3,6.9,1
20,MANDULOG,8.2442,124.3057,2012,4,25.4,82.3,6.9,0
21,MARIA CRISTINA,8.1989,124.1936,2012,4,25.4,82.3,6.9,1
22,PALAO,8.2286,124.2532,2012,4,25.4,82.3,6.9,2
23,PANOROGANAN,8.1743,124.425,2012,4,25.4,82.3,6.9,0
24,POBLACION,8.2285,124.2344,2012,4,25.4,82.3,6.9,1
25,PUGA-AN,8.2285,124.2742,2012,4,25.4,82.3,6.9,0
26,ROGONGON,8.2395,124.4115,2012,4,25.4,82.3,6.9,0
27,SAN MIGUEL,8.2387,124.2479,2012,4,25.4,82.3,6.9,0
28,SAN ROQUE,8.2578,124.2619,2012,4,25.4,82.3,6.9,0
29,SANTA ELENA,8.1948,124.2273,2012,4,25.4,82.3,6.9,0
30,SANTA FILOMENA,8.2681,124.2593,2012,4,25.4,82.3,6.9,0
31,SANTIAGO,8.2511,124.2444,2012,4,25.4,82.3,6.9,1
32,SANTO ROSARIO,8.2436,124.2525,2012,4,25.4,82.3,6.9,0
33,SARAY-TIBANGA,8.2436,124.2525,2012,4,25.4,82.3,6.9,0
34,SUAREZ,8.1914,124.2173,2012,4,25.4,82.3,6.9,0
35,TAMBACAN,8.2236,124.2347,2012,4,25.4,82.3,6.9,1
36,TIBANGA,8.2402,124.241,2012,4,25.4,82.3,6.9,0
37,TIPANOY,8.1902,124.2634,2012,4,25.4,82.3,6.9,2
38,TOMINOBO PROPER,8.2104,124.2221,2012,4,25.4,82.3,6.9,0
39,TOMINOBO UPPER,8.1688,124.2251,2012,4,25.4,82.3,6.9,0
40,TUBOD,8.2117,124.241,2012,4,25.4,82.3,6.9,3
41,UBALDO LAYA,8.224,124.2449,2012,4,25.4,82.3,6.9,1
42,UPPER HINAPLANON,8.2559,124.2689,2012,4,25.4,82.3,6.9,0
43,VILLA VERDE,8.2331,124.2437,2012,4,25.4,82.3,6.9,0
0,ABUNO,8.1846,124.2571,2012,5,25.1,86.4,6.9,1
1,ACMAC,8.274,124.2649,2012,5,25.1,86.4,6.9,0
2,BAGONG SILANG,8.2418,124.252,2012,5,25.1,86.4,6.9,0
3,BONBONON,8.2667,124.2902,2012,5,25.1,86.4,6.9,0
4,BUNAWAN,8.3023,124.3028,2012,5,25.1,86.4,6.9,0
5,BURU-UN,8.1872,124.1688,2012,5,25.1,86.4,6.9,1
6,DALIPUGA,8.3074,124.255,2012,5,25.1,86.4,6.9,0
7,DEL CARMEN,8.2322,124.2578,2012,5,25.1,86.4,6.9,0
8,DIGKILAAN,8.2492,124.3178,2012,5,25.1,86.4,6.9,0
9,DITUCALAN,8.1751,124.1927,2012,5,25.1,86.4,6.9,0
